Artiste,Titre
1PLIKÉ140,CANADA
VALD,MAUDIT
"TREI DEGETE, SQUEEZIE, KR...",TIME TIME
ADELE,EASY ON ME
ZIAK,FIXETTE
LE CLASSICO ORGANISÉ,LE CLASSICO ORGANISÉ
RONISIA,SUIS-MOI
FREEZE CORLEONE & ASHE 22,DÉGRADÉ
CLARA LUCIANI,RESPIRE ENCORE
GAZO,MAUVAIS 2X
VALD,LA FAUX LE FER
VALD,PAPOOSE
LANDY,R.A.S.
JNR CHOI & SAM TOMPKINS,TO THE MOON
LIL NAS X,THATS WHAT I WANT
KIM,LOVE & LOVÉ
VALD,PANDEMIE
"JUNGELI, IMEN ES, ALONZO",PETIT GÉNIE
SOOLKING,CASANOVA
DAVE/TIAKOLA,MERIDIAN
HEUSS L'ENFOIRÉ & GAZO,SAIYAN
FREEZE CORLEONE,JOUR DE PLUS
KEBLACK,LAISSE MOI
FREEZE CORLEONE,MW2
DOJA CAT,PAINT THE TOWN RED
FAVÉ,FLASHBACK
FREEZE CORLEONE,ANCELOTTI
FREEZE CORLEONE,SHAVKAT
KENYA GRACE,STRANGERS
FREEZE CORLEONE,KPOP
LOREEN,TATTOO
FREEZE CORLEONE,VOLDEMORT
FREEZE CORLEONE,BILL CLINTON
FREEZE CORLEONE,LAMBORGHINI BÉNIE
DUA LIPA,DANCE THE NIGHT (FROM BARBIE THE ALBUM)
FREEZE CORLEONE,ISSHIN ASHINA
DAVE/TIAKOLA,SPECIAL
FREEZE CORLEONE,TSE CHI LOP
FREEZE CORLEONE,AMÉRIQUE DU SUD
NINHO,EUROSTAR (FEAT. CENTRAL CEE)
NINHO & AYRA STARR,NO LOVE
FREEZE CORLEONE,L'HOMME MÉTHODE
BECKY G,ARRANCA (REMIXES)
PLK,NOUVELLES
"ROSALÍA, RAUW ALEJANDRO",BESO
NO LIMIT,LA RUE
BURNA BOY,CITY BOYS
VICTOR THOMPSON,THIS YEAR (BLESSINGS)
TRINIX,THE MAGIC KEY
NAPS,C'EST CARRÉ LE S
MORAD,SE GRITA
"KANEKI, NINHO & NAPS",BLUE
TATE MCRAE,GREEDY
FREEZE CORLEONE,ARGENT NOIR PART. 3
"TRINIX, FAFÁ DE BELÉM",EMORIO
"JEY BROWNIE, FLEM KGB",GTB
PEGGY GOU,(IT GOES LIKE) NANANA
AYA NAKAMURA,CHÉRIE
"JUL FEAT. SCH, NAPS, KOFS...",BANDE ORGANISÉE
MASTER KG FEAT. BURNA BOY...,JERUSALEMA
AYA NAKAMURA,JOLIE NANA
DADJU FEAT. NINJO,GRAND BAIN
FRANGLISH FEAT. TORY LANE...,MY SALSA
JAWSH 685 & JASON DERULO,SAVAGE LOVE (LAXED - SIREN BEAT)
BOSH,DJOMB
MAC TYER FEAT. NINHO,MOTO
TAYC,N'Y PENSE PLUS
"BLACK EYED PEAS, OZUNA & ...",MAMACITA
DABABY FEAT. RODDY RICCH,ROCKSTAR
UZI,À LA FÊTE
WEJDENE,ANISSA
ROBIN SCHULZ & WES,ALANE
TOPIC FEAT. A7S,BREAKING ME
BOLÉMVN & MAES,10K
OFENBACH & QUARTERHEAD FE...,HEAD SHOULDERS KNEES & TOES
JUL,ITALIA
GRAND CORPS MALADE & CAMI...,MAIS JE T'AIME
HATIK FEAT. JOK'AIR,LA MEILLEURE
GAMBI,MACINTOSH
BOOBA,DOLCE VITA
BOOBA FEAT. ZED,JAUNÉ
DJADJA & DINAZ,FÉFÉ LAMBO
OBOY,CABEZA
ZOLA,WOW
BRAMSITO FEAT. NISKA,CRIMINEL
HARRY STYLES,WATERMELON SUGAR
SIFAX & SOFIANE,MECS DE CITÉS
PLK,C'EST MORT
AVA MAX,KINGS & QUEENS
KAARIS,FREESTYLE 2.7.0
GAMBI,PUFF PUFF PUFF
CONKARAH FEAT. SHAGGY,BANANA
HORNET LA FRAPPE,TOURNER LA TÊTE
THE WEEKND,IN YOUR EYES
DRAKE FEAT. LIL DURK,LAUGH NOW CRY LATER
13 BLOCK FEAT. NISKA,TIEKS
LUCKY LUKE,COOLER THAN ME
BAD BUNNY & JHAY CORTEZ,DÁKITI
BOOBA,RATPI WORLD
RIM'K,COSMOS
"JUL, SCH",MOTHER FUCK
